time,PPT_D,PPT_W,PPC_D,PPC_W,OSO_D,OSO_W,OSU_D,OSU_W
2,1.48,2.01,1.01,3.21,0.85,4.18,1.28,7.52
7,1.74,1.81,1.38,2.72,0.64,2.91,0.79,5.65
16,1.15,1.19,1.33,2.62,0.74,2.31,0.88,4.23
24,2.24,1.45,0.94,2.55,0.89,2.03,2.36,3.81
51,1.24,1.12,1.14,1.81,0.42,1.73,0.84,2.35
81,1.49,2.27,1.17,2.04,0.21,1.52,0.56,3.09
111,3.39,1.99,1.96,2.14,1.68,1.48,0.25,2.81
