time,C_15_Jaiba,C_15_Woburn,C_15_Cerrado,C_15_Mata,C_15_Fosters,C_15_Silsoe,C_35_Jaiba,C_35_Woburn,C_35_Cerrado,C_35_Mata,C_35_Fosters,C_35_Silsoe
0,164.86,171.69,363.04,595.38,725.23,1278.75,161.07,178.12,365.63,597.44,726.99,1279.26
10,148.06,223.23,486.34,701.59,763.09,1419.13,154.09,218.86,484.77,638.18,621.13,1251.82
25,131.41,131.41,356.92,719.11,599.51,1067.62,123.15,95.88,279.96,579.97,501.56,927.69
50,118.45,162.87,207.29,542.14,607.05,1119.59,81.82,20.45,204.54,272.73,337.49,221.59
100,133.55,222.38,365.89,581.16,611.91,1185.94,87.78,108.24,258.24,340.05,534.37,394.61
150,121.31,134.97,384.41,579.16,521.07,1170.29,138.06,69.89,216.48,243.75,260.79,332.39
