time,CO2_5_10-20_0,CO2_5_10-20_30,CO2_5_10-20_60,CO2_5_10-20_100,CO2_5_10-20_CS,CO2_5_20-30_0,CO2_5_20-30_30,CO2_5_20-30_60,CO2_5_20-30_100,CO2_5_20-30_CS,CO2_10_10-20_0,CO2_10_10-20_30,CO2_10_10-20_60,CO2_10_10-20_100,CO2_10_10-20_CS,CO2_10_20-30_0,CO2_10_20-30_30,CO2_10_20-30_60,CO2_10_20-30_100,CO2_10_20-30_CS,CO2_15_10-20_0,CO2_15_10-20_30,CO2_15_10-20_60,CO2_15_10-20_100,CO2_15_10-20_CS,CO2_15_20-30_0,CO2_15_20-30_30,CO2_15_20-30_60,CO2_15_20-30_100,CO2_15_20-30_CS,CO2_20_10-20_0,CO2_20_10-20_30,CO2_20_10-20_60,CO2_20_10-20_100,CO2_20_10-20_CS,CO2_20_20-30_0,CO2_20_20-30_30,CO2_20_20-30_60,CO2_20_20-30_100,CO2_20_20-30_CS
2,2.11,2.52,3.77,2.31,2.12,2.14,2.41,3.04,2.33,2.12,3.85,3.85,5.08,3.85,2.86,2.79,3.44,4.14,3.44,2.91,3.19,5.72,8.12,5.61,3.19,2.97,4.02,6.58,4.02,3.19,4.27,5.41,10.46,6.72,4.18,4.01,4.01,9.54,6.64,3.64
5,1.41,1.61,1.83,1.72,1.32,1.08,1.59,1.85,1.59,1.11,2.28,2.28,3.85,2.28,2.16,1.94,2.19,3.39,2.19,1.95,2.91,4.48,6.59,4.89,2.91,2.57,3.36,6.11,3.36,2.91,3.51,4.87,9.73,5.05,3.59,3.37,3.37,7.68,5.05,3.64
9,1.19,1.34,1.53,1.47,1.21,1.03,1.34,1.53,1.37,1.01,2.07,2.07,3.56,2.07,1.81,1.63,2.02,2.89,2.02,1.63,2.19,3.36,4.19,3.74,2.19,1.97,2.16,3.81,2.38,2.19,2.64,3.55,4.36,3.68,2.68,2.64,2.64,3.96,3.05,2.59
14,0.91,1.07,1.31,1.03,0.91,0.91,1.07,1.21,1.08,0.89,1.72,1.72,2.21,1.72,1.46,1.36,1.56,2.14,1.56,1.29,1.68,1.83,2.69,1.72,1.68,1.49,1.61,2.09,1.61,1.68,2.51,2.55,2.91,2.64,2.41,2.09,2.09,2.78,2.55,2.32
20,0.65,0.78,0.89,0.81,0.66,0.64,0.77,0.89,0.76,0.66,1.36,1.36,1.82,1.36,1.02,0.95,1.12,1.48,1.12,0.93,0.82,1.31,2.02,1.42,0.82,0.82,1.49,1.68,1.49,0.82,1.78,1.78,1.92,1.73,1.73,1.59,1.59,1.92,1.73,1.73
30,0.19,0.33,0.45,0.32,0.22,0.21,0.34,0.43,0.32,0.19,0.64,0.64,0.91,0.64,0.47,0.47,0.49,0.66,0.49,0.37,0.68,0.79,1.13,0.79,0.68,0.64,0.75,0.86,0.75,0.68,1.55,1.51,1.83,1.46,1.42,1.33,1.33,1.87,1.42,1.37
40,0.23,0.34,0.41,0.36,0.21,0.21,0.31,0.39,0.32,0.21,0.61,0.61,0.87,0.61,0.49,0.49,0.51,0.56,0.51,0.42,0.65,0.72,0.95,0.72,0.65,0.68,0.76,0.79,0.76,0.65,1.51,1.47,1.87,1.46,1.37,1.37,1.37,1.83,1.37,1.33
