site,carbonMean,carbonSD,carbonSE,carbonUnits,nitrogenMean,nitrogenSD,nitrogenSE,nitrogenUnits,bulkDensityMean,bulkDensitySD,bulkDensitySE,replicates,pH,redox,percentClay,percentSand,percentSilt,microbialBiomass,microbialBiomassUnits
Coweeta Long-Term Ecological Research LTER_high elevation(CH),9.9,,,percent,0.7,,,percentN,,,,,,,,,,,
Coweeta Long-Term Ecological Research LTER_low elevation(CL),5.5,,,percent,0.3,,,percentN,,,,,,,,,,,
Harvard Forest LTER_Control_Organic Rich Horizon(HOC),17.2,,,percent,0.8,,,percentN,,,,,,,,,,,
Harvard Forest LTER_Control_Organic Poor Horizon (HMC),16.8,,,percent,0.8,,,percentN,,,,,,,,,,,
"Harvard Forest LTER_HeatedPlot_Organic Rich Horizon (HOH)""",5.5,,,percent,0.3,,,percentN,,,,,,,,,,,
Harvard Forest LTER_HeatedPlot_Organic Poor Horizon (HMH),5.3,,,percent,0.3,,,percentN,,,,,,,,,,,
