time,C_FS_CH,C_FS_CL,C_FS_VH,C_FS_VL,C_GS_CH,C_GS_CL,C_GS_VH,C_GS_VL
10,0.61,0.43,0.51,0.42,0.56,0.42,0.53,0.43
20,0.56,0.41,0.47,0.38,0.52,0.39,0.48,0.39
40,0.49,0.37,0.44,0.35,0.44,0.36,0.41,0.36
80,0.41,0.31,0.36,0.29,0.38,0.29,0.35,0.29
120,0.31,0.25,0.27,0.22,0.32,0.26,0.32,0.26
