time,CO2_ET_SAG_TS,CO2_ET_SAG_SS,CO2_ET_TM_TS,CO2_ET_TM_SS,CO2_ET_A_TS,CO2_ET_A_SS,CO2_ET_DF_TS,CO2_ET_DF_SS,CO2_ET_EF_TS,CO2_ET_EF_SS,CO2_ET_R_TS,CO2_ET_R_SS,CO2_RT_SAG_TS,CO2_RT_SAG_SS,CO2_RT_TM_TS,CO2_RT_TM_SS,CO2_RT_A_TS,CO2_RT_A_SS,CO2_RT_DF_TS,CO2_RT_DF_SS,CO2_RT_EF_TS,CO2_RT_EF_SS,CO2_RT_R_TS,CO2_RT_R_SS
1,1.13,0.35,1.99,0.93,0.37,0.21,2.07,0.74,1.14,0.38,1.64,0.26,0.76,0.29,1.97,0.41,1.04,0.76,2.48,0.57,0.87,0.29,1.62,0.36
2,1.27,0.39,1.91,0.99,0.44,0.28,2.09,1.12,0.96,0.44,1.61,0.55,0.56,0.26,1.85,0.36,0.88,0.68,2.22,0.49,0.78,0.27,1.46,0.36
6,1.24,0.35,1.88,0.99,0.52,0.28,2.07,0.77,0.92,0.27,1.66,0.19,0.36,0.36,1.58,0.25,0.79,0.59,1.91,0.41,0.58,0.35,1.31,0.24
12,1.22,0.41,2.02,0.92,0.51,0.41,2.21,0.63,1.07,0.25,1.61,0.18,0.33,0.23,1.48,0.21,0.61,0.49,1.77,0.39,0.56,0.25,1.22,0.21
24,1.25,0.37,2.01,0.96,0.66,0.51,2.19,0.65,1.19,0.21,1.58,0.11,,,,,,,,,,,,
