time, C_10deg_CH,C_20deg_CH,C_30deg_CH,C_10deg_CL,C_20deg_CL,C_30deg_CL,C_10deg_HOC,C_20deg_HOC,C_30deg_HOC,C_10deg_HMC,C_20deg_HMC,C_30deg_HMC,C_10deg_HOH,C_20deg_HOH,C_30deg_HOH,C_10deg_HMH,C_20deg_HMH,C_30deg_HMH
1,76.82,141.17,93.19,162.57,123.85,154.19,455.48,930.72,1753.34,132.79,138.05,164.13,721.19,721.17,1054.83,90.85,136.61,106.96
7,168.59,190.28,288.01,218.77,243.01,232.37,630.87,722.48,1532.54,206.03,220.69,189.98,513.11,513.11,690.41,177.7,215.3,238.99
21,506.5,560.57,987.01,584.38,533.67,625.42,1125.07,1568.6,2644.23,618.44,430.38,463.65,549.24,896.93,785.57,491.72,624.93,715.05
50,422.18,387.14,826.82,436.65,539.64,407.23,1106.24,991.19,1067.19,290.64,480,306.3,487.78,969.01,1415.89,470,395.2,429.56
77,349.58,528.06,4724.25,320.94,451.64,732.63,1775.98,1769.47,2661.57,331.59,577.21,2613.61,1096.65,2955.01,2946.62,238.44,466.64,2032.96
