time,Q10,LIT10deg,LIT30deg
0,2.25,0.38,1.98
2,1.66,0.43,1.42
8,1.48,0.47,1.27
20,1.35,0.24,0.57
39,1.39,0.18,0.46
78,1.22,0.19,0.41
103,1.37,0.18,0.44
153,1.11,0.15,0.27
218,1.31,0.11,0.27
279,1.35,0.09,0.28
342,1.38,0.09,0.27
424,1.25,0.09,0.25
525,1.32,0.07,0.22
