site,horizon,carbonMean,carbonSD,carbonSE,carbonUnits,nitrogenMean,nitrogenSD,nitrogenSE,nitrogenUnits,bulkDensityMean,bulkDensitySD,bulkDensitySE,replicates,pH,redox,percentClay,percentSand,percentSilt,microbialBiomass,microbialBiomassUnits
make sure names match your yaml file,change column name above to match what is in yaml file,,,,"should be percent, g/gSoil, mg/gSoil, microg/gSoil",,,,"should be percent, g/gSoil, mg/gSoil, microg/gSoil",needs to be in g/cm^3,,,,,needs to be in mV,,,,,
Vindeln,Oh,44,,,percent,1.17,,,percent,,,,,3.6,,,,,,
Haldon,A1,5.7,,,percent,0.38,,,percent,,,,,4.9,,,,,,
Waldstein,Of,47.2,,,percent,1.8,,,percent,,,,,3.4,,,,,,
Waldstein,Oh,34,,,percent,1.07,,,percent,,,,,3.5,,,,,,
Thezan,Oh,38.8,,,percent,0.91,,,percent,,,,,4.3,,,,,,
Thezan,A1,4.7,,,percent,0.12,,,percent,,,,,5.2,,,,,,
La Clape,A1,2.6,,,percent,0.12,,,percent,,,,,7.7,,,,,,
