time,a,b,c,d,e,f
2,,,1.01,1.01,,1.01
5,,,,,1.01,
7,,,,,0.86,
12,1.01,1.01,,,,
14,,,,,0.82,
21,0.98,,,,,
28,,,,,0.51,
31,0.98,,,,,
36,,,,,0.48,
41,,,,,0.47,
43,,,0.71,0.79,,0.43
47,,,,,0.44,
53,1.01,,,,,
62,1.12,,,,,
68,,,,,0.31,
88,,,,,0.23,
107,1.04,,,,,
108,,0.94,0.73,0.62,,0.05
