time,SDC22_TSO_1,SDC22_TSO_2,SDC22_TSO_3,SDC35_SPD_1,SDC35_SPD_2,SDC35_SPD_3,SDC36_SPD_1,SDC36_SPD_2,SDC36_SPD_3,SDC37_SPD_1,SDC37_SPD_2,SDC37_SPD_3,SDC_32_SPSO_1,SDC_32_SPSO_2,SDC_32_SPSO_3,SDC10_MSA_1,SDC10_MSA_2,SDC10_MSA_3,SDC19_TO_1,SDC19_TO_2,SDC19_TO_3,SDC20_TO_1,SDC20_TO_2,SDC20_TO_3,SDC26_TO_1,SDC26_TO_2,SDC26_TO_3,SDC27_TO_1,SDC27_TO_2,SDC27_TO_3,SDC28_TO_1,SDC28_TO_2,SDC28_TO_3,SDC30_SPOW_1,SDC30_SPOW_2,SDC30_SPOW_3,SDC31_SPO_1,SDC31_SPO_2,SDC31_SPO_3,SDC8_MSA_1,SDC8_MSA_2,SDC8_MSA_3,SDC15_TSO_1,SDC15_TSO_2,SDC15_TSO_3,SDC16_TSO_1,SDC16_TSO_2,SDC16_TSO_3,SDC4_MSA_1,SDC4_MSA_2,SDC4_MSA_3,SDC6_MSA_1,SDC6_MSA_2,SDC6_MSA_3,SDC7_MSA_1,SDC7_MSA_2,SDC7_MSA_3,SDA13_AM_1,SDA13_AM_2,SDA13_AM_3,SDA5_AM_1,SDA5_AM_2,SDA5_AM_3,SDC1_MSA_1,SDC1_MSA_2,SDC1_MSA_3,SDC14_TSO_1,SDC14_TSO_2,SDC14_TSO_3,SDC2_MSA_1,SDC2_MSA_2,SDC2_MSA_3
3,,,,19.64,,,,,,21.04,21.39,15.85,6.3,17.22,10.16,17.88,16.61,15.61,9.53,11.55,8.99,12.77,11.24,11.29,7.19,6.01,,14.23,,7.59,3.73,9.09,7.37,7.25,4.46,6.98,12.59,11.27,10.98,41.59,31.39,34.56,13.08,14.95,13.96,9.53,21.23,11.22,19.5,18.34,23.45,28.22,,27.97,20.94,20.24,,37.35,40.29,35.34,13.59,18.36,17.36,31.92,39.61,,4.59,5.57,6.27,40.7,42.38,36.32
6,15.3,14.67,0,21.05,21.78,,8.06,,13.74,8.86,7.41,11.32,6.85,9.26,11.09,12.11,12.86,12.63,4.27,4.75,,7.8,8.17,6.44,7.61,6.8,,9.82,0,5.23,,5.46,6.9,3.99,3.76,5.63,9.69,8.06,9.86,29.42,,21.19,9.93,20.9,11.69,,21.24,,14.21,16.64,13.06,21.69,23.61,24.08,14.75,12.55,,25.07,24.5,26.88,8.89,12.97,12.15,25.2,28.21,27.75,,4.1,4.2,32.35,18.03,29.14
8,14.67,6.73,6.39,,37.91,52.21,5.66,5.19,5.5,6.04,6.65,4.4,6.48,5.1,6.26,7.47,7.72,7.05,5.7,5.42,,4.64,5.22,5.3,5.8,6.19,,5.41,4.77,9.69,3.6,7.58,4.76,3.48,4.2,3.1,5.52,22.59,5.88,20.19,61.3,9.31,5.19,6.51,14.76,9.62,2.93,5.41,17.02,27.78,15.58,17.23,28.25,22.66,57.49,33.95,,19.39,26.6,52.63,8.33,17.75,6.23,33.86,25.05,8.31,3.77,7.08,2.67,33.64,29.75,25.06
10,10.09,12.81,13.67,13.34,18.54,13.13,,13.12,18.46,17.27,16.09,20.37,2.1,2.23,7.82,19.2,13.44,19.52,10.81,11.09,8.8,10.36,,,8.34,8.27,6.85,7.43,6.05,6.77,4.37,6.97,8.38,3.71,7.31,3.47,6.86,6.5,4.68,26.99,19.77,14.68,14.12,16.58,15.06,12,16.06,18.5,27.95,19.91,21.62,20.69,24.84,25.22,3.6,,16.54,37.83,38.29,37.76,,,,31.32,22.13,26.26,5.22,4.68,4.57,36.27,27.21,28.91
15,5.73,6.3,6.08,8.59,12.52,11.04,,8.64,,17.33,19.84,15.11,3.32,3.7,2.49,,,19,6.74,8.53,5.48,12.81,3.76,4.36,11.05,10.1,,3.41,2.62,2.13,4.95,10.43,10.41,5.17,6.64,6.6,3.9,7.92,3.71,29.49,4.36,12.39,5.11,6.49,14.42,9.6,2.95,5.67,16.2,24.65,13.18,15.03,25.26,21.16,5.88,33.76,10.81,18.4,20.74,26.09,,13.83,6.53,29.61,25.46,28.05,2.86,5.09,2.68,25.74,19.27,17.7
29,7.66,8.39,11.41,5.4,6.55,9.21,2.32,9.5,7,12.94,14.85,11.28,3.53,4.22,2.86,4.54,4.98,5.14,6.4,6.27,5.4,10.12,,13.04,11.16,,,3.72,2.5,3.5,5.98,6.87,7.98,6.05,9.92,8.14,3.61,3.84,4.3,22.99,20.72,20.16,5.36,3.63,8.25,12.53,,,18.17,20.88,10.75,13.1,23.27,11.39,21.17,22.23,22.42,13.32,15.31,22.01,8.61,12.86,7.99,23.22,10.42,12.71,1.53,1.68,1.76,10.92,15.09,14.28
37,7.3,10.12,9.21,,9,10.36,14.15,18.72,19.71,23.79,29.01,23.65,,7.98,,4.81,,,6.85,7.01,6.64,8.34,8.79,12.85,8.27,7.86,8.06,5.01,5.18,4.82,6.14,8.74,8.43,8.09,7.35,6.86,14.53,11.09,8.45,25.07,22,25.2,15.42,10.13,10.02,20.64,9.73,11.4,18.87,18.28,17.62,23.27,,22.48,26.47,26.13,27,,18.03,19.65,,10.32,8.27,17.24,13.14,12.76,1.28,1.34,1.48,15.73,13.4,19.85
