site,experimentalTreatment_1,carbonMean,carbonSD,carbonSE,carbonUnits,nitrogenMean,nitrogenSD,nitrogenSE,nitrogenUnits,bulkDensityMean,bulkDensitySD,bulkDensitySE,replicates,pH,redox,percentClay,percentSand,percentSilt,microbialBiomass,microbialBiomassUnits
make sure names match your yaml file,change column name above to match what is in yaml file,,,,"should be percent, g/gSoil, mg/gSoil",,,,"should be percent, g/gSoil, mg/gSoil",needs to be in g/cm^3,,,,,needs to be in mV,,,,,
Fairbanks,Spruce,43.65,,0.5,percent,,,,,,,,,,,,,,,
Fairbanks,Tussock,44.62,,0.63,percent,,,,,,,,,,,,,,,
Chandalar,Tussock,42.85,,0.92,percent,,,,,,,,,,,,,,,
ToolikLake,Tussock,43.14,,0.54,percent,,,,,,,,,,,,,,,
ToolikLake,Shrub,41.26,,0.89,percent,,,,,,,,,,,,,,,
ToolikLake,WetSedge,37.04,,0.87,percent,,,,,,,,,,,,,,,
Sagwon,Tussock,44.64,,0.68,percent,,,,,,,,,,,,,,,
