day,Site1_mean,Site1_stderr,Site2_mean,Site2_stderr,Site3_mean,Site3_stderr,Site4_mean,Site4_stderr,Site5_mean,Site5_stderr,Site6_mean,Site6_stderr,Site7_mean,Site7_stderr,Site8_mean,Site8_stderr,Site9_mean,Site9_stderr,Site10_mean,Site10_stderr,Site11_mean,Site11_stderr,Site12_mean,Site12_stderr,Site13_mean,Site13_stderr,Site14_mean,Site14_stderr,Site15_mean,Site15_stderr,Site16_mean,Site16_stderr,Site17_mean,Site17_stderr,Site18_mean,Site18_stderr,Site19_mean,Site19_stderr,Site20_mean,Site20_stderr,Site21_mean,Site21_stderr,Site22_mean,Site22_stderr
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14270.76,207.45,NA,NA,NA,NA,NA,NA
281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31616.48,4186.72,38397.98,2370,75463.26,6701.18,NA,NA,NA,NA,NA,NA,NA,NA
283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75935.34,6761.13,NA,NA,NA,NA,NA,NA,NA,NA
284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31866.89,4218.23,38649.82,2384.69,76183.87,6787.01,14395.69,212.56,NA,NA,NA,NA,NA,NA
286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76643.4,6837.7,NA,NA,NA,NA,NA,NA,NA,NA
287,NA,NA,2532.39,117.98,NA,NA,NA,NA,NA,NA,NA,NA,5244.43,818.12,1183.46,64.49,NA,NA,654.17,79.03,4135.99,102.26,2911.83,602.94,1337.19,378.48,2789.66,266.18,4366.75,213.01,32116.78,4243.64,38896.22,2393.75,76880.02,6864.02,14495.28,217.68,5464.01,388.74,4430.16,216.34,NA,NA
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77552.63,6937.24,NA,NA,NA,NA,NA,NA,NA,NA
291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32419.27,4270.5,39207.53,2403.77,77806.46,6964.23,14619.66,222.02,NA,NA,NA,NA,NA,NA
293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78248.37,7009.56,NA,NA,NA,NA,NA,NA,NA,NA
294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14724.35,225.5,NA,NA,NA,NA,NA,NA
295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32720.49,4298.83,39508.41,2411.12,78708.02,7060.72,NA,NA,NA,NA,NA,NA,NA,NA
296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78957.15,7087.82,NA,NA,NA,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32981.21,4322.9,39754.08,2414.89,79438.72,7121.54,14842.71,230.89,NA,NA,NA,NA,NA,NA
300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79881.79,7178.31,NA,NA,NA,NA,NA,NA,NA,NA
301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5370.26,826.39,NA,NA,NA,NA,NA,NA,4239.88,105.56,NA,NA,NA,NA,NA,NA,4519.12,231.46,NA,NA,NA,NA,NA,NA,14945.04,234.95,NA,NA,NA,NA,NA,NA
302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33267.43,4352.95,40053.6,2418.44,80340.75,7224.45,NA,NA,NA,NA,NA,NA,NA,NA
304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80791.46,7271.93,NA,NA,NA,NA,NA,NA,NA,NA
305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33515.17,4375.01,40287.16,2418.96,81019.24,7292.89,15051.22,238.24,NA,NA,NA,NA,NA,NA
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81415.43,7334.12,NA,NA,NA,NA,NA,NA,NA,NA
308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15150.24,242.25,NA,NA,NA,NA,NA,NA
309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33805.61,4403.74,40560.22,2417.48,81859.09,7373.3,NA,NA,NA,NA,NA,NA,NA,NA
311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82279.03,7413,NA,NA,NA,NA,NA,NA,NA,NA
312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34043.3,4426.52,40782.82,2414.97,82533.47,7432.6,15261.08,246.5,NA,NA,NA,NA,NA,NA
315,NA,NA,2664.08,122.92,NA,NA,NA,NA,NA,NA,NA,NA,5489.64,838.73,1240.17,65.4,NA,NA,689.58,81.91,4331.6,109.21,NA,NA,1407.48,394.53,2903.09,271.13,4648.45,253.89,NA,NA,NA,NA,NA,NA,15352.77,249.45,5695.64,413.5,4616.28,221.87,NA,NA
