time,Site01,Site02,Site03,Site04,Site05,Site06,Site07,Site08,Site09,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63,Site64,Site65,Site66,Site67,Site68,Site69,Site70,Site71,Site72,Site73,Site74,Site75,Site76,Site77,Site78
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2743,59.0141,88.2163
252,,,,,,,,,,9.2564,6.7553,9.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5766,16.2999,13.2678,16.9617,16.8489,14.3944,54.6224,34.5897,59.1808,11.2046,9.9237,11.0817,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2905,28.2292,22.1084,24.4861,27.3544,22.308,58.2843,54.96,80.8901
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8941,20.9386,16.8542,19.8257,20.1365,16.7696,59.3656,36.0316,63.1678,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0305,59.779,88.2106
256,,,,,,,,,,8.2049,6.1241,8.3938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.66,18.5254,15.0098,17.5176,17.9907,15.0134,55.0674,33.4359,57.927,9.6054,8.6124,9.3505,,,,,,,,,,,,,20.1739,30.1331,23.4338,24.8962,27.7905,22.9006,55.8851,45.5502,72.0623
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.184,36.248,62.3721,,,,,,,,,,,,,,,,,,,,,,59.0834,55.6199,81.1457
259,0.8189,0.9043,0.7961,1.3912,1.4914,1.245,2.363,2.0694,2.9039,8.4568,6.4488,8.7807,1.0429,1.3837,0.7024,2.2806,2.0779,2.52,2.1866,2.6184,3.3138,0.5568,0.7036,0.5687,2.9528,1.951,1.8759,0.4392,0.429,0.2995,2.1474,2.0696,2.2544,1.2194,0.7373,1.0356,0.8824,0.7727,0.3467,1.2749,1.201,1.3381,3.0722,2.2598,3.5517,11.5234,16.0507,12.2123,15.8391,16.1427,13.9349,51.3159,26.0441,46.3992,10.2486,8.8494,10.0654,2.7296,3.2568,4.0102,3.2813,2.3076,2.3319,2.6829,5.2444,3.5318,1.2217,1.2579,1.0151,19.6538,27.0814,22.1031,25.9185,27.3821,22.4103,56.4657,53.3739,78.0466
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1237,20.2674,16.0442,18.8089,19.1536,16.5385,56.6564,34.4568,59.3784,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2048,54.6856,82.0703
263,,,,,,,,,,7.9735,6.1117,8.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4833,19.2322,14.978,18.2955,18.1371,15.7571,53.4267,33.4924,59.474,9.3045,8.6307,9.651,,,,,,,7.0692,11.9696,8.6318,,,,18.9778,26.8887,21.7963,23.7056,25.1317,20.845,56.9162,48.5347,70.3872
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.948,36.1793,63.15,,,,,,,,,,,,,,,,,,,,,,57.9058,43.9486,74.0174
266,,,,,,,,,,8.3062,6.3172,8.5558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3758,16.162,12.4163,15.8907,15.548,13.0112,45.3551,29.4229,54.0463,10.3831,9.2095,10.4156,,,,,,,6.5481,10.9512,8.3099,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3531,23.6023,21.8216,22.554,23.9284,19.8026,56.4282,50.4213,75.7704
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4894,18.8017,15.6239,16.9499,17.8699,15.3452,53.0812,30.3265,57.9958,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8363,49.022,76.6366
270,,,,,,,,,,7.9122,5.5188,7.3173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1736,17.8495,14.4492,16.9561,16.9843,14.5509,51.2668,29.9238,55.4974,8.6394,7.0961,9.193,,,,,,,4.3193,7.8847,5.9804,,,,17.1746,34.4911,23.6424,29.5305,25.6372,26.2092,93.9913,86.557,98.2473
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9421,29.2667,54.8475,,,,,,,,,,,,,,,,,,,,,,57.2751,54.3724,78.9553
273,,,,,,,2.321,2.1038,3.1238,9.4531,6.1385,8.2038,,,,2.1074,2.2295,2.5248,2.1859,2.6569,3.3353,,,,3.0057,1.9646,1.7498,,,,2.1082,2.0516,2.2534,,,,,,,,,,3.1447,2.3704,3.7654,11.9475,15.6688,14.3414,17.5611,15.5249,13.2033,67.8666,45.8229,101.1471,11.4584,13.9298,11.9625,2.3978,2.9286,3.3372,3.0188,2.7815,2.5045,6.4474,9.0458,9.8086,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8043,26.0293,21.3103,23.1158,24.3138,20.2374,59.059,55.738,80.5694
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.901,18.5063,10.4642,17.336,17.6018,14.5901,46.6844,32.4784,47.2194,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0293,58.3226,82.2618
277,,,,,,,,,,8.0926,5.6985,7.5341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0975,17.726,14.5227,17.668,18.1778,15.0616,53.5533,33.0764,55.5039,7.0478,5.7662,8.2933,,,,,,,4.0761,6.3161,4.2713,,,,20.0557,29.0177,22.2123,25.4073,26.4782,22.2704,63.4409,56.228,79.6345
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1051,35.8631,59.2365,,,,,,,,,,,,,,,,,,,,,,58.1259,55.9326,78.4786
280,,,,,,,,,,8.303,6.1504,7.7669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4487,15.8226,12.1913,15.3381,15.8272,13.7394,54.7061,33.4181,53.7624,10.1698,9.1478,10.1507,,,,,,,4.8832,8.6909,6.3142,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8308,25.8697,21.3661,23.2914,23.3754,20.3948,59.835,55.9263,80.6889
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2639,18.6242,14.7178,17.9013,17.9611,15.5934,53.4936,32.9285,53.3294,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0698,52.9802,80.801
284,,,,,,,,,,8.0217,6.1559,7.6621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4429,18.1306,14.5239,17.7093,16.9181,15.1619,49.2803,33.069,53.0482,9.0941,7.9154,8.7737,,,,,,,4.212,7.4934,5.3163,,,,17.9639,28.0972,22.8425,24.31,24.7367,20.2504,63.2573,59.4095,82.4944
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7947,32.9815,52.3937,,,,,,,,,,,,,,,,,,,,,,57.5117,54.9566,77.2017
287,0.8604,0.9181,0.8162,1.4426,1.5871,1.3181,2.12,1.9098,2.8396,8.9365,6.1202,8.0699,1.1163,1.4091,0.8283,1.9622,2.1001,2.2904,2.1382,2.7742,3.2435,0.6134,0.7036,0.5958,2.4128,1.8155,1.1658,0.4586,0.4277,0.3253,1.8449,1.715,1.6511,1.15,0.7809,1.0656,0.8602,0.8689,0.3554,1.2077,1.1974,1.3192,2.8386,1.9914,3.8079,10.4823,14.9413,11.8235,15.0698,14.9569,13.0388,46.4809,33.5953,52.8629,9.7295,8.2053,9.4692,2.6447,3.2284,3.9903,2.9153,2.4694,2.4051,4.8316,8.5417,6.2727,1.2723,1.3501,1.103,19.0212,27.1299,22.6093,23.6821,23.4107,20.7075,60.4927,55.5179,79.3132
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5937,18.1726,14.6555,17.445,17.4115,14.8945,50.6163,33.3883,53.3008,,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2092,54.4856,75.3832
291,,,,,,,,,,8.2102,5.5535,7.8279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5618,18.0702,13.9952,18.2664,17.5073,15.1133,51.3737,34.1566,55.3314,8.7531,7.9071,9.0084,,,,,,,4.1662,7.1734,5.3326,,,,17.5642,24.0637,20.7999,22.7334,21.8392,19.6732,64.4623,60.5117,84.5636
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1989,30.6472,52.7679,,,,,,,,,,,,,,,,,,,,,,55.1943,53.794,73.4102
294,,,,,,,,,,8.4673,5.9319,7.8027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7311,15.765,11.9546,15.4604,15.0089,13.4043,49.7105,36.8742,58.9862,9.803,8.909,10.0948,,,,,,,4.6652,8.5077,5.9548,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16,24.0807,20.9212,22.227,20.6727,19.1946,56.7993,55.4207,77.5004
296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1141,18.3565,14.6874,17.1716,16.7903,14.7107,44.7412,30.8801,51.5117,,,,,,,,,,,,,,,,,,,,,,61.7246,60.2745,83.6558
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,7.6515,5.4863,7.3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0806,17.6406,14.1035,17.3095,16.9515,14.879,46.7171,32.5228,54.1056,8.4968,7.3754,8.553,,,,,,,4.0021,7.1296,5.1275,,,,19.9766,27.769,23.9973,24.1924,22.1472,21.2598,57.8538,64.3042,76.6066
299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4703,35.8158,58.799,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7159,50.056,76.105
301,,,,,,,2.0675,1.9111,2.9254,8.6331,6.0917,7.982,,,,2,2.0142,2.2339,2.0619,2.3024,3.0551,,,,2.8463,1.8862,1.729,,,,2.0416,1.9264,2.1578,,,,,,,,,,2.9651,2.3344,3.6848,11.1614,15.4388,12.195,15.4586,15.1179,13.2234,47.0257,32.7204,53.8914,9.8151,8.638,9.7062,,,,,,,4.8948,8.8797,6.4031,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1568,22.8431,21.068,22.7737,19.7264,19.3124,57.056,56.3179,76.0588
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9127,18.3999,14.78,15.7871,17.3439,15.0482,45.4159,32.1523,46.9083,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8173,54.9323,75.2793
305,,,,,,,,,,7.7469,5.4118,7.3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7405,16.8334,13.8742,16.7858,16.3658,14.292,44.2948,25.0062,50.8587,6.8975,6.6762,8.3393,,,,,,,4.0747,7.3767,5.289,,,,19.2484,26.3251,22.597,23.7209,20.1138,20.4338,56.0131,57.3557,74.6669
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6208,32.1291,51.5611,,,,,,,,,,,,,,,,,,,,,,47.4715,49.6546,66.3998
308,,,,,,,,,,8.1689,5.8007,7.5822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9683,14.4878,11.2766,15.0851,14.9656,12.9962,45.6543,32.8769,51.6899,9.4706,8.3368,9.4368,,,,,,,4.6193,8.3783,5.6244,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4631,23.4293,20.0457,20.7519,17.405,18.1957,55.8435,55.2718,72.0035
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1392,29.2899,44.4776,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5985,52.6455,69.0848
312,,,,,,,,,,7.2932,5.096,7.1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0026,12.9181,10.6481,14.1199,14.0799,12.0842,45.8579,33.1103,50.5353,8.075,7.0667,7.7337,,,,,,,3.8651,6.8606,4.8324,,,,18.0944,25.4523,21.8583,22.6939,18.6132,19.9438,65.1422,63.9904,80.9088
313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0715,29.9087,45.2779,,,,,,,,,,,,,,,,,,,,,,68.5632,54.194,68.5632
315,0.7549,0.7986,0.6781,1.3211,1.3787,1.1826,2.0349,1.7778,2.7728,7.8567,5.3467,7.3729,1.0361,1.2364,0.6443,1.8598,1.8957,2.0549,1.7811,2.2513,3.0071,0.5389,0.5881,0.5449,2.5973,1.6462,1.5335,0.3972,0.3586,0.2882,1.7898,1.6791,1.9393,1.092,0.7518,0.9969,0.8027,0.8906,0.379,1.1511,1.0183,1.1749,2.1245,1.8477,3.6532,11.1226,15.3349,12.679,15.6764,16.0913,13.9213,47.2039,35.179,52.1003,8.8962,7.9102,8.4228,1.8417,2.2097,2.7774,1.9721,1.7654,1.7498,4.4437,8.1873,5.9527,1.0983,1.1559,0.9221,17.0427,23.106,19.8622,20.4868,15.5813,18.4051,55.6919,55.335,71.5113
316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0524,16.7758,14.6682,16.5236,16.3102,14.0887,44.444,31.7798,46.533,,,,,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4824,22.6395,19.4325,21.4405,16.6314,18.3289,49.6367,51.8577,67.4423
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,6.4394,4.7695,6.1371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3593,12.6819,10.2381,13.6758,13.2275,11.5811,40.9073,28.0375,45.1893,6.9243,5.8694,7.0558,,,,,,,2.0369,4.8568,3.1325,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5989,51.8955,65.7032
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.947,20.3182,17.8819,19.2324,14.4414,16.5074,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.932,50.458,63.0677
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9784,11.8028,10.3053,13.1489,12.8556,10.9997,36.4211,26.9337,42.3307,7.6048,6.5947,7.5579,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6968,49.6326,60.5994
333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,5.452,3.9322,4.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5599,26.9138,41.9139,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3241,12.9378,10.8293,,,,,,,,,,,,,,,,,,,,,,,,,49.3893,52.6584,62.8554
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4612,11.2463,10.012,,,,,,,7.1671,6.071,7.1112,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8452,16.5514,14.9251,17.0084,11.2686,13.7387,52.094,54.0086,63.1384
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,0.7241,0.7239,0.6286,1.1755,1.2521,1.0677,1.5405,1.085,2.0865,7.2071,5.0126,6.3843,1.017,1.2047,0.6691,1.1603,1.4034,1.4199,1.5079,1.668,2.1727,0.5118,0.5574,0.5189,1.9925,1.2455,1.0068,0.3468,0.3366,0.2458,1.2087,1.1718,1.3447,0.9022,0.6504,0.9109,0.6757,0.7768,0.3178,1.0458,0.8972,1.0132,1.9968,1.3653,2.6889,12.7901,15.15,13.8302,14.386,14.4945,13.0847,34.619,26.7416,41.3334,8.8478,7.8368,8.7956,1.8289,2.2074,2.7237,1.9576,1.7347,1.7563,2.2303,4.3484,2.8068,0.9622,1.137,0.8511,21.1451,32.79,27.1943,23.7499,17.603,20.6225,48.8059,52.555,60.7221
344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.454,59.1008,67.6385
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4159,13.2553,10.2637,14.3917,13.8227,13.4162,41.4723,31.4729,49.2221,7.5027,7.1884,7.7712,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9787,54.4227,62.8218
355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,6.9267,4.8011,5.9937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3933,14.2708,12.1314,15.2063,14.2655,14.1762,40.3419,30.445,48.8631,8.0926,7.8568,8.4518,,,,,,,,,,,,,15.0607,20.2726,17.0445,19.1617,14.1479,16.5623,53.6755,57.8809,64.892
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9216,56.6396,62.0533
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2113,30.1541,49.0121,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7636,14.7788,12.4779,,,,,,,7.8084,7.5209,8.2557,,,,,,,3.2627,5.9209,4.1145,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9815,57.0591,62.2199
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
