time,CL20F298,CL20F081,CL20F034,CL20F101,CL20F020,CL20F135,CL20F252,CL20F150,CL20F314,CL20F018,CL20F168,CL20F134,CL20F136,CL20F312,CL20F186,CL20F100,CL20F120,CL20F051,CL20F049,CL20F206,CL20F001,CL20F035,CL20F097,CL20F282,CL20F099,CL20F068,CL20F152,CL20F185,CL20F118,CL20F296,CL20F170,CL20F098,CL20F237,CL20F003,CL20F281,CL20F236,CL20F004,CL20F017,CL20F187,CL20F169,CL20F082,CL20F066,CL20F151,CL20F283,CL20F220,CL20F280,CL20F266,CL20F119,CL20F207,CL20F067,CL20F313,CL20F251,CL20F250,CL20F299,CL20F065,CL20F188,CL20F084,CL20F050,CL20F083,CL20F184,CL20F267,CL20F222,CL20F297,CL20F033,CL20F265,CL20F052,CL20F221,CL20F002,CL20F171,CL20F235,CL20F121,CL20F036,CL20F149,CL20F205,CL20F268
23,4.597207111,17.36255301,6.378495042,1.76793133,3.917101275,3.462042454,0.673675255,7.036487556,0.906703044,6.463843926,10.38764256,7.01389758,2.835057568,24.78935103,5.728521161,3.280004573,4.41926443,3.447578251,7.229908398,11.67030484,8.492498085,4.965392482,19.47950397,2.683321274,6.396672242,0.564912428,1.19810694,11.06204342,8.654931421,44.46211006,3.032153509,12.53301166,4.166191948,3.441205491,6.679632661,5.930039594,2.244396662,5.44719698,4.04495043,7.675425655,4.338325029,4.110696894,2.448765368,1.952942156,7.736872659,15.74787814,3.420220258,8.264558753,3.537990972,5.141678812,5.330233419,2.605020063,10.36255073,2.437677685,5.260565753,3.398187535,1.294224843,5.079702249,2.298752793,17.41527217,3.208098185,3.824830932,10.45536618,8.422005866,5.882091445,1.649039309,5.738140184,8.445219792,1.14351487,7.352673201,0.128094899,4.690233336,9.131880935,11.30101668,1.532238028
26,3.729551157,14.16881184,5.27974641,1.795985176,3.214862864,2.948221042,0.812805536,5.681424186,1.164672581,5.188469711,9.3405262,5.958148024,2.606159109,21.69207278,4.917016974,2.958110091,3.816419598,3.222336552,6.550648835,9.933942607,7.566237478,3.993018885,17.3160666,1.841585041,5.367299775,0.046303143,0.555387435,9.453999136,7.842295318,41.57662419,2.373772054,10.77334798,3.440514316,2.822593021,5.510296484,4.904335823,1.930514888,4.944369152,3.344197761,6.213949695,3.633901916,3.584544635,2.005998942,1.625663442,6.398276508,14.19790626,4.157924346,8.59518451,2.907014756,4.398886567,4.760216824,2.323684707,9.804968381,1.590875486,4.554630051,3.213566857,2.123284411,4.736174234,1.454856795,15.68202096,3.23521778,3.732420554,9.878881487,8.169184817,6.060615287,1.648792234,5.736015511,6.145487608,1.287358259,4.651416838,0.455052965,3.645473895,9.339846183,11.42388342,2.175970568
30,4.752900988,22.7625469,7.148225554,2.077162559,4.16894775,3.965257149,0.813874459,7.291145032,1.108905094,6.913346106,11.75368994,7.168539049,3.117830321,26.8945467,6.492659269,2.629836959,3.787264969,3.175885367,6.536629009,11.14770165,8.055487915,4.274465448,18.97225702,2.444504565,5.813897703,0.438054661,0.821811348,10.75379827,8.333782045,46.14504165,3.089874279,15.38523855,4.536838433,3.497302614,7.537542987,6.72216891,2.508256126,6.537107131,4.477253304,8.570534654,5.087994381,4.803823219,2.325511739,2.561462441,8.748994066,17.58959099,2.763862923,9.635889256,3.797643182,5.718718397,5.926499393,3.040469936,10.87790419,2.64971465,5.955470384,3.897668096,0.472702341,4.2202917,2.127552319,18.12377329,3.552647279,4.309685244,10.96486969,10.1225141,6.89773992,1.958801587,6.94091389,6.833374175,1.858659006,7.841546612,0.536768756,5.144068708,10.57966013,14.3718599,2.577158869
35,2.908786981,19.11423489,4.66177034,0.873207068,2.574373892,2.330792527,0.016794609,4.638337842,0.276421119,4.650034481,8.837655617,4.920066637,1.716101948,20.49449667,4.593565116,3.47476422,4.890623415,3.660897754,8.31180376,15.16311636,10.67950349,5.569383554,27.2693736,3.212329141,7.690240375,0.526138745,1.038146454,15.19391189,11.47508871,69.81743121,3.15294363,17.70023565,5.1409199,4.223128308,9.012611828,8.268679497,2.95565565,7.939602834,5.258518271,10.69350663,5.960158936,5.795746879,2.497195615,2.549587214,10.37366861,19.09264996,3.032970416,9.084344969,3.731567404,6.01787258,5.404530355,2.305868563,12.20608202,1.64346543,5.414801963,3.062782298,0.389556996,5.222495228,1.615619533,18.2689573,3.531964928,4.128177586,13.56655955,12.70896292,8.042715679,2.157455669,8.652800191,8.753340969,1.724471849,9.720367121,0.530398201,5.531062092,12.49116483,18.81327268,2.618773758
40,5.70473914,28.86652517,7.84586866,2.622572155,4.956092016,4.554822591,1.115801314,8.418936523,1.562886187,8.740662318,14.68532708,8.55844686,3.766341415,31.09078139,7.803453054,3.059436612,4.073588314,3.083811938,7.332192155,12.78815053,9.251583802,4.471209384,22.24413413,2.736174403,6.08648397,0.34798051,1.001219094,12.6386394,9.544840135,58.72848487,3.368434933,17.88707393,4.892082401,4.097849557,9.939277219,8.590504793,2.959020507,7.875681945,5.213509908,11.25706524,5.984592595,5.818968318,2.550003494,2.18172811,10.55589919,20.68110457,3.786864891,10.82323531,4.537593351,7.251958775,6.544254784,3.067802301,15.40195882,1.162620373,7.466838544,3.336822954,1.039204979,6.306408199,2.11296678,21.66531823,3.537040941,4.577735388,12.30108162,11.75292068,7.874846977,2.021106562,8.595569977,7.638462289,1.984760953,9.324852045,0.536861955,5.17728226,12.10194249,15.96063632,2.821317741
45,4.682548012,32.31475736,6.881569152,1.906589964,3.245365301,3.58324905,0.672977555,7.056310869,0.910440232,7.147419135,12.99243353,7.193923444,3.054440462,27.50404336,6.75562357,3.47420346,4.162980088,2.965066633,7.398782772,13.60843933,9.616037033,4.570341141,24.13470931,2.946059235,6.30902371,0.023343061,1.072749904,13.07447814,10.28025111,64.58458582,2.429072923,16.11935074,4.279186682,3.300121392,8.900798642,7.30439621,2.788329605,7.546241031,4.385135902,10.22600832,5.255377608,5.379618594,2.064473035,1.732354541,8.090966227,17.01961465,3.655609074,9.776904515,4.027410861,6.51780384,6.532274109,3.306015484,14.48082999,2.056515466,6.802566102,3.591168305,1.422501048,6.884741773,1.422187532,17.38809339,2.518054968,3.003857678,10.98550657,9.025517958,6.758799374,1.332810782,6.554763601,6.223187086,1.338232566,7.428688414,0.21647241,3.836914896,11.03419165,13.58742109,1.966043895
50,4.360067834,27.3552046,6.157401157,1.694799157,3.683905229,3.261136801,0.545189855,6.521199133,0.777491852,6.758026324,12.56779303,6.993448238,2.819334444,26.17663462,6.283283815,2.931862721,3.64595249,3.037988236,7.278818015,12.42915408,9.106452124,3.518209232,21.97814208,1.944308298,5.12850843,0.092610795,0.057382558,11.92223649,9.42581276,61.01315906,2.438395913,19.16929503,4.802810012,3.73889627,9.65665893,8.393680105,3.055474369,8.345082806,5.038293309,11.84028312,6.228334164,6.103667355,2.233147542,1.948144836,10.73080481,13.74856748,2.984945608,8.501485135,3.047883216,5.173234967,6.02742871,2.654343294,13.06186303,1.856256261,5.596663093,2.991167315,0.992742782,4.846020941,1.724712222,12.95240258,3.262628525,5.025934125,13.0365075,11.45105222,7.916375462,1.897476366,8.165516607,7.880159434,1.824850396,9.396180154,0.501618682,5.077548297,12.70117545,17.61535189,3.15829089
55,4.45118133,25.54021489,6.582297136,1.935113577,4.328215662,3.847039218,0.842472277,7.073732297,1.1649844,7.621228073,13.22196914,7.343341781,3.246346518,26.08253004,6.371778463,3.476105547,3.93324025,3.372872749,7.686297304,13.73575821,9.358805164,3.413781352,22.35784898,2.508388588,5.518228499,0.573976537,1.109345751,12.31176591,10.30712388,64.376423,2.9526098,15.50287284,4.290585245,3.774890435,6.840055084,7.042151688,3.852886057,7.079022155,4.654872717,10.1188471,5.799170213,5.606656909,2.479013009,2.434227378,9.205048607,18.0471027,3.711283925,10.20785803,3.905309742,7.09711005,6.546898594,3.199222264,15.95652523,1.880948658,7.277398895,3.369883855,0.897387505,6.102455064,2.304915418,17.00687917,2.598292847,3.232294354,10.82393439,8.595528525,6.597182464,1.505322507,6.203703113,6.090962071,1.448595668,7.101424826,0.366979875,3.718982186,11.05590647,13.16280177,2.132480627
60,4.863913751,21.69458077,6.089163204,1.843049204,4.488142657,3.933913444,0.814135271,7.101979105,1.167057792,7.457621735,13.3562091,7.008943304,3.155767067,25.38777972,6.076684701,3.315088177,3.596881845,2.741277027,7.637636474,12.72769905,11.66855243,3.665201448,24.15591507,2.28047442,5.450895207,0.497621278,0.484476235,11.70893868,7.087885229,69.20871121,2.142074203,12.94972291,3.334119078,3.076912106,6.801291264,6.180014905,2.224974268,5.949642994,3.588434788,8.884178355,4.909358011,4.595638401,1.941035943,1.975799366,7.665827386,13.74414629,2.816609478,8.547930147,2.823217961,5.590114166,5.771814229,2.551599428,13.556996,1.442991066,6.055892971,2.834195813,0.670029364,5.099462697,1.383837895,12.8245073,2.712084431,4.26345451,13.46482406,12.0906325,8.376639228,1.518550228,8.214411554,7.759247492,1.676351573,9.811008655,0.428667839,4.168096731,13.07208481,18.41088128,2.409398436
65,3.770727849,17.97380427,5.408864437,1.124720675,3.472185866,2.727372267,0.111296686,5.858396977,0.405938952,6.401302908,11.51575622,5.795587187,2.319687232,22.86813395,5.377322342,3.509783701,3.532190719,3.268796137,7.96801249,12.23037131,9.09413167,3.378303465,21.27386429,2.450436144,4.968303073,0.510943916,0.862198608,9.670152803,9.360329646,61.13619438,2.532270115,18.20054345,5.086733389,3.395492068,8.578705883,7.889518323,2.582233874,7.21079359,4.72149973,11.37018369,6.019384446,5.923039098,2.166790204,2.285757853,9.622229101,14.45636043,3.490698026,9.102341019,3.047643106,6.139986174,6.109658448,2.965584857,14.19042861,1.779290159,6.458703625,3.162626957,0.980325226,5.467128968,1.982317964,12.79213153,2.616097317,3.541277964,11.99822603,9.277116781,7.553886732,1.754597311,6.886224873,6.795621367,1.653668256,8.239352209,0.598421868,4.171617302,12.16404851,14.886906,0.928337675
70,3.764231515,17.6694716,5.019565634,0.842181128,3.403840725,2.837893422,0.181150627,5.882110829,0.534882193,6.193983599,11.18672136,6.222359648,2.475083779,22.39836101,5.080079232,2.457042398,2.693349805,2.060278683,6.389268068,9.919807398,8.384431008,2.514075283,15.34936711,1.516577267,3.733902367,0.033854255,0.337210277,8.040512589,7.882810216,46.88563866,2.09523454,13.6099422,3.427958099,2.729188286,6.699675892,6.382880551,1.958048666,6.142770892,3.603913348,9.128688472,4.799158991,4.797355962,1.70416949,1.292060095,7.551970692,15.15329626,3.347848841,9.026851995,2.945156502,6.405273596,5.978255427,2.754401116,14.93932734,1.330366855,6.515102899,2.899441131,0.614481637,5.03603676,1.782656795,13.07734723,2.346140723,3.115994712,9.310094679,7.360678904,6.051781666,1.350803731,4.971040099,4.603888269,1.580489316,5.081521824,0.668335922,3.179424506,9.491577594,10.24897234,2.02725982
75,4.568087327,20.44391716,6.160581576,1.476679002,4.20473343,3.677354238,0.740598588,6.861539226,1.146070446,7.567190541,12.73471377,7.25809185,3.09937456,18.91391693,6.177401353,3.264200802,3.708087537,2.822380312,8.363085282,12.45982456,8.923772815,3.233243802,22.95193875,2.012053579,4.97835439,0.089022393,0.848038953,11.5114021,9.504771185,65.33094629,2.218544826,14.83109439,3.627590283,2.976400533,6.847105575,6.609090642,2.183526573,6.462257348,3.979410214,9.373977092,5.190865742,5.257057992,1.84018407,1.616738552,8.163425579,8.656759408,2.221073199,5.706999599,1.722238159,3.528340207,4.763748957,2.023310957,9.571640746,1.108189698,3.602733537,2.090395273,0.670945716,3.039017021,1.18486274,6.836281042,1.465444072,2.732738771,9.097974136,8.045815547,5.999152454,0.767605051,4.702418715,4.791079863,0.886070023,5.927350603,-0.003435671,2.697250302,6.727766467,10.98984625,1.865320268
80,4.032779624,15.92012712,4.649710905,1.432062651,3.675212632,2.992121807,0.627830113,5.978550728,0.847662894,6.753683856,11.04131137,6.336248549,2.745615491,19.70439198,4.976602392,2.535088569,2.864533389,2.279519244,6.024495651,9.382145138,6.816819963,2.325090409,15.88098034,1.759413841,3.488869982,0.173130004,0.496716883,8.480396402,7.144196989,49.17331028,2.01924296,16.25329001,3.693942742,2.812855851,7.235622121,6.602071999,2.062518134,6.154657887,4.092748639,10.05262122,5.489513448,5.379370266,1.77265614,1.492492438,8.268009947,10.6078125,2.208631876,6.440934657,2.269223617,4.54409788,4.231928805,1.772648347,10.92055515,0.634440689,4.509932473,1.429863353,0.214237134,1.694348033,1.237451048,8.981837751,2.291613208,3.415169681,10.70416822,9.758197192,6.921904864,1.284056515,6.130356196,5.168094809,1.296161247,8.441909421,0.365613287,3.502303621,10.8259248,13.65158581,2.127921047
85,4.622566957,19.805149,5.718892972,1.163939727,3.937311592,3.252438272,0.041344037,6.558915208,0.472031776,6.816137918,12.09799041,6.791262113,2.628117051,21.16278438,5.356464725,3.157041998,3.643449088,2.61119536,7.9076606,12.54252864,9.249579151,3.164188371,23.63621604,2.046247031,4.88618388,0.472932459,0.366639516,11.6213769,9.617375854,70.62113789,1.362976945,7.088706467,1.734248067,1.666765218,4.264965195,3.838656033,1.193197873,3.707049659,2.357602542,5.992648885,3.074020149,3.186932933,1.145713326,0.968335721,4.708106175,15.43935809,3.720582989,9.845405742,3.393182344,6.870697373,6.031943831,3.198928932,16.39894919,1.359518741,7.147712003,2.9735062,1.116601709,5.481574213,1.919879468,13.22544477,1.867396784,2.378996273,8.22986218,6.124353634,5.131409838,1.219253252,4.171421989,4.240924184,0.787513019,5.57002113,0.293424664,2.718823378,8.704815198,8.810023239,1.708975573
90,4.332441246,17.18737971,5.419666903,1.230737906,3.023228566,3.198785663,0.370582565,6.41961884,0.905910778,6.487780782,11.37890045,6.650434999,2.565004782,20.20907954,5.155671883,2.371899399,2.869853588,2.043332467,6.540649691,9.954136199,8.18040624,2.408159222,17.12918573,1.805313218,3.978937092,0.278303002,0.458743072,9.770922927,8.17139925,56.25550867,1.604105563,12.13581578,2.821569961,2.028406412,5.326256485,4.936709591,1.221738501,4.480488126,2.868062994,7.083223746,4.154548779,4.120647737,1.04336945,0.660737168,6.124818324,8.473999127,2.303776406,5.945318489,1.517101797,3.466524481,4.907036772,1.815377464,11.05451067,0.321984111,4.378491702,2.250316739,0.690785385,3.311731192,1.403675035,7.195453782,0.989496757,1.761039482,5.580154035,4.219999505,3.297323859,0.631815214,2.716892501,2.8637918,0.417865134,3.277466741,-0.16754647,1.776682825,6.16027869,5.850251876,1.198749091
