time, CO2/ 4deg,CO2/ 22deg,CO2/ 40deg
0.5,0.03,0.31,0.84
3,0.02,0.18,0.35
6,0.01,0.13,0.28
12,0.01,0.12,0.18
24,0.01,0.11,0.12
48,0.01,0.09,0.11
