time,CO2_40_elev,CO2_40_con,CO2_22_elev,CO2_22_con,CO2_4_elev,CO2_4_con,C13_4_elev,C13_4_con,C13_22_elev,C13_22_con,C13_40_elev,C13_40_con
1,0.839066283,0.625521822,0.302600929,0.240100111,0.031764052,0.021347249,-27.56338028,-23.92957746,-30.94366197,-26.42253521,-31.02816901,-26.71830986
3,0.354789636,0.289684617,0.18291893,0.149057777,0.018847739,0.016243539,-25.83098592,-22.36619718,-29.84507042,-26.42253521,-30.35211268,-26.25352113
6,0.289841654,0.229945037,NA,0.13619381,0.016400576,0.013796375,-26.54929577,-22.66197183,-29.38028169,-25.70422535,-29.12676056,-26.50704225
12,0.188591899,0.149528888,0.126091082,0.105257476,0.01411045,0.011506249,-24.09859155,-21.14084507,-28.02816901,-25.78873239,-28.1971831,-26.04225352
24,0.131921089,0.113691684,0.111087483,0.098066479,0.019940457,0.012127854,-25.61971831,-22.45070423,-28.1971831,-26.08450704,-27.81690141,-26.04225352
48,0.096712033,0.075878427,0.094107832,0.099316234,0.023794412,0.018586011,-25.36619718,-22.95774648,-27.77464789,-26.04225352,-27.09859155,-26.67605634
