time,CO2_25deg,CO2_35deg,C_25deg,C_35deg
1,5.18,10.99,0.001,0.001
7,4.17,8.59,0.004,0.01
14,3.24,7.55,0.008,0.02
21,2.91,7.19,0.01,0.03
28,2.41,5.81,0.01,0.03
56,2.71,5.42,0.02,0.05
83,2.31,5.09,0.03,0.07
111,2.11,4.23,0.04,0.09
139,1.89,3.59,0.05,0.11
167,1.86,3.56,0.06,0.12
195,1.56,2.67,0.07,0.13
222,1.47,2.16,0.08,0.14
250,1.08,2.07,0.08,0.15
278,1.23,1.77,0.09,0.16
305,1.41,1.74,0.09,0.17
336,0.96,1.49,0.11,0.17
