time,Pine_O_26,Spruce_O_26,Spruce_0_15_26,Pine_0_15_26,Pine_15_30_26,Spruce_15_30_26,Spruce_O_05,Pine_15_30_05,Spruce_O_12,Pine_15_30_12,Spruce_O_19,Pine_15_30_19
0,130.9859155,119.1549296,44.22535212,25.35211268,16.33802817,12.11267606,11.75257732,0.756013746,27.6975945,3.23024055,57.38831616,7.35395189
98,56.6197183,76.6197183,25.91549296,20,12.3943662,7.605633802,,,,,,
189,55.77464788,54.08450704,29.0140845,23.94366198,14.92957746,8.732394366,2.95532646,12.02749141,26.59793814,,,
280,50.42253522,35.49295774,23.09859154,25.07042254,15.49295775,10.70422535,,,,,,
370,30.9859155,25.91549296,20.28169014,16.33802817,13.8028169,9.014084508,,,,,,
495,20.56338028,18.5915493,12.95774648,11.83098592,10.98591549,7.887323944,,,,,,
