time,cellulose,control
0,0,0
5,0.009785523,0.007774799
9,0.015013405,0.011796247
14,0.023458445,0.018230563
20,0.034718499,0.022654156
26,0.051206434,0.027077748
33,0.066487936,0.03150134
47,0.089008043,0.040348525
56,0.099463807,0.045576408
71,0.115951743,0.054021448
98,0.135656837,0.068096515
128,0.153351206,0.082573727
160,0.171447721,0.099865952
